Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (18, 7, 9)
Cube side length: 7
Total parameter points: 343
Holes (trivial states): 0
Points to scan: 343
Initial range: N=1 to 100000
==================================================

[1/343] Analyzing (a=15, b=4, c=6)...
  ✓ Samples: 7,729,963 | Chi-Sq Stat: 1665.2894 | Chi-Sq p-value: 0.0 | MAD: 0.00095 | KS D-Max: 0.00161 | Dmix: 0.004269 | Digital Mix Speed: 7250.713 | Time: 9.25s

[2/343] Analyzing (a=15, b=4, c=7)...
  ✓ Samples: 7,829,050 | Chi-Sq Stat: 1089.5520 | Chi-Sq p-value: 0.0 | MAD: 0.00077 | KS D-Max: 0.00153 | Dmix: 0.003470 | Digital Mix Speed: 8952.869 | Time: 9.34s

[3/343] Analyzing (a=15, b=4, c=8)...
  ✓ Samples: 7,829,966 | Chi-Sq Stat: 1015.6425 | Chi-Sq p-value: 0.0 | MAD: 0.00074 | KS D-Max: 0.00147 | Dmix: 0.003318 | Digital Mix Speed: 9315.892 | Time: 9.28s

[4/343] Analyzing (a=15, b=4, c=9)...
  ✓ Samples: 7,729,586 | Chi-Sq Stat: 1682.5617 | Chi-Sq p-value: 0.0 | MAD: 0.00095 | KS D-Max: 0.00161 | Dmix: 0.004291 | Digital Mix Speed: 7250.691 | Time: 9.18s

[5/343] Analyzing (a=15, b=4, c=10)...
  ✓ Samples: 7,748,517 | Chi-Sq Stat: 1554.1337 | Chi-Sq p-value: 0.0 | MAD: 0.00091 | KS D-Max: 0.00157 | Dmix: 0.004102 | Digital Mix Speed: 7570.570 | Time: 9.20s

[6/343] Analyzing (a=15, b=4, c=11)...
  ✓ Samples: 7,828,614 | Chi-Sq Stat: 969.5682 | Chi-Sq p-value: 0.0 | MAD: 0.00072 | KS D-Max: 0.00143 | Dmix: 0.003245 | Digital Mix Speed: 9574.562 | Time: 9.39s

[7/343] Analyzing (a=15, b=4, c=12)...
  ✓ Samples: 7,729,893 | Chi-Sq Stat: 1664.2991 | Chi-Sq p-value: 0.0 | MAD: 0.00095 | KS D-Max: 0.00160 | Dmix: 0.004269 | Digital Mix Speed: 7250.709 | Time: 9.07s

[8/343] Analyzing (a=15, b=5, c=6)...
  ✓ Samples: 6,665,709 | Chi-Sq Stat: 995.2780 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005228 | Digital Mix Speed: 5882.626 | Time: 7.52s

[9/343] Analyzing (a=15, b=5, c=7)...
  ✓ Samples: 6,665,706 | Chi-Sq Stat: 995.9590 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005230 | Digital Mix Speed: 5882.626 | Time: 7.51s

[10/343] Analyzing (a=15, b=5, c=8)...
  ✓ Samples: 6,665,702 | Chi-Sq Stat: 997.8742 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005237 | Digital Mix Speed: 5882.626 | Time: 7.55s

[11/343] Analyzing (a=15, b=5, c=9)...
  ✓ Samples: 6,665,696 | Chi-Sq Stat: 995.3932 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005230 | Digital Mix Speed: 5882.625 | Time: 7.67s

[12/343] Analyzing (a=15, b=5, c=10)...
  ✓ Samples: 6,957,870 | Chi-Sq Stat: 646.4865 | Chi-Sq p-value: 0.0 | MAD: 0.00099 | KS D-Max: 0.00306 | Dmix: 0.004445 | Digital Mix Speed: 6911.592 | Time: 8.07s

[13/343] Analyzing (a=15, b=5, c=11)...
  ✓ Samples: 6,665,692 | Chi-Sq Stat: 995.1417 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005227 | Digital Mix Speed: 5882.625 | Time: 7.52s

[14/343] Analyzing (a=15, b=5, c=12)...
  ✓ Samples: 6,665,688 | Chi-Sq Stat: 997.6607 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00309 | Dmix: 0.005236 | Digital Mix Speed: 5882.625 | Time: 7.44s

[15/343] Analyzing (a=15, b=6, c=6)...
  ✓ Samples: 12,026,669 | Chi-Sq Stat: 251.8718 | Chi-Sq p-value: 0.0 | MAD: 0.00048 | KS D-Max: 0.00157 | Dmix: 0.002139 | Digital Mix Speed: 14750.303 | Time: 17.10s

[16/343] Analyzing (a=15, b=6, c=7)...
  ✓ Samples: 6,005,809 | Chi-Sq Stat: 3647.7958 | Chi-Sq p-value: 0.0 | MAD: 0.00215 | KS D-Max: 0.00461 | Dmix: 0.009665 | Digital Mix Speed: 3152.824 | Time: 6.58s

[17/343] Analyzing (a=15, b=6, c=8)...
