Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (21, 30, 12)
Cube side length: 7
Total parameter points: 343
Holes (trivial states): 0
Points to scan: 343
Initial range: N=1 to 100000
==================================================

[1/343] Analyzing (a=18, b=27, c=9)...
  ✓ Samples: 7,808,151 | Chi-Sq Stat: 647.7930 | Chi-Sq p-value: 0.0 | MAD: 0.00076 | KS D-Max: 0.00306 | Dmix: 0.003415 | Digital Mix Speed: 9069.142 | Time: 9.90s

[2/343] Analyzing (a=18, b=27, c=10)...
  ✓ Samples: 3,327,617 | Chi-Sq Stat: 1655.2956 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008649 | Digital Mix Speed: 3396.944 | Time: 3.18s

[3/343] Analyzing (a=18, b=27, c=11)...
  ✓ Samples: 3,327,617 | Chi-Sq Stat: 1653.8628 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008645 | Digital Mix Speed: 3396.944 | Time: 3.34s

[4/343] Analyzing (a=18, b=27, c=12)...
  ✓ Samples: 3,327,617 | Chi-Sq Stat: 1654.1744 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008645 | Digital Mix Speed: 3396.944 | Time: 3.16s

[5/343] Analyzing (a=18, b=27, c=13)...
  ✓ Samples: 3,327,617 | Chi-Sq Stat: 1653.4120 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008646 | Digital Mix Speed: 3396.944 | Time: 3.18s

[6/343] Analyzing (a=18, b=27, c=14)...
  ✓ Samples: 3,327,617 | Chi-Sq Stat: 1652.0953 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008642 | Digital Mix Speed: 3396.944 | Time: 3.28s

[7/343] Analyzing (a=18, b=27, c=15)...
  ✓ Samples: 3,327,614 | Chi-Sq Stat: 1648.9329 | Chi-Sq p-value: 0.0 | MAD: 0.00192 | KS D-Max: 0.00595 | Dmix: 0.008629 | Digital Mix Speed: 3396.944 | Time: 3.14s

[8/343] Analyzing (a=18, b=28, c=9)...
  ✓ Samples: 3,315,848 | Chi-Sq Stat: 1222.9771 | Chi-Sq p-value: 0.0 | MAD: 0.00140 | KS D-Max: 0.00629 | Dmix: 0.006287 | Digital Mix Speed: 4657.568 | Time: 3.19s

[9/343] Analyzing (a=18, b=28, c=10)...
  ✓ Samples: 3,944,706 | Chi-Sq Stat: 737.8452 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00524 | Dmix: 0.005237 | Digital Mix Speed: 5686.220 | Time: 4.09s

[10/343] Analyzing (a=18, b=28, c=11)...
  ✓ Samples: 3,315,848 | Chi-Sq Stat: 1221.8790 | Chi-Sq p-value: 0.0 | MAD: 0.00140 | KS D-Max: 0.00629 | Dmix: 0.006287 | Digital Mix Speed: 4657.568 | Time: 3.11s

[11/343] Analyzing (a=18, b=28, c=12)...
  ✓ Samples: 3,351,771 | Chi-Sq Stat: 999.1077 | Chi-Sq p-value: 0.0 | MAD: 0.00141 | KS D-Max: 0.00599 | Dmix: 0.006345 | Digital Mix Speed: 4627.854 | Time: 3.34s

[12/343] Analyzing (a=18, b=28, c=13)...
  ✓ Samples: 3,315,846 | Chi-Sq Stat: 1222.8098 | Chi-Sq p-value: 0.0 | MAD: 0.00140 | KS D-Max: 0.00629 | Dmix: 0.006286 | Digital Mix Speed: 4657.567 | Time: 3.12s

[13/343] Analyzing (a=18, b=28, c=14)...
  ✓ Samples: 3,945,427 | Chi-Sq Stat: 685.8336 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00521 | Dmix: 0.005205 | Digital Mix Speed: 5686.288 | Time: 3.97s

[14/343] Analyzing (a=18, b=28, c=15)...
  ✓ Samples: 3,315,846 | Chi-Sq Stat: 1222.8000 | Chi-Sq p-value: 0.0 | MAD: 0.00140 | KS D-Max: 0.00628 | Dmix: 0.006280 | Digital Mix Speed: 4657.567 | Time: 3.30s

[15/343] Analyzing (a=18, b=29, c=9)...
  ✓ Samples: 3,264,017 | Chi-Sq Stat: 2136.1738 | Chi-Sq p-value: 0.0 | MAD: 0.00214 | KS D-Max: 0.00574 | Dmix: 0.009650 | Digital Mix Speed: 3043.810 | Time: 3.07s

[16/343] Analyzing (a=18, b=29, c=10)...
  ✓ Samples: 3,296,011 | Chi-Sq Stat: 1702.1837 | Chi-Sq p-value: 0.0 | MAD: 0.00212 | KS D-Max: 0.00550 | Dmix: 0.009550 | Digital Mix Speed: 3074.523 | Time: 3.15s

[17/343] Analyzing (a=18, b=29, c=11)...
