Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (7, 14, 8)
Cube side length: 11
Total parameter points: 1331
Holes (trivial states): 0
Points to scan: 1331
Initial range: N=1 to 100000
==================================================

[1/1331] Analyzing (a=2, b=9, c=3)...
  ✓ Samples: 13,277,072 | Chi-Sq Stat: 355.9600 | Chi-Sq p-value: 0.0 | MAD: 0.00048 | KS D-Max: 0.00140 | Dmix: 0.002146 | Digital Mix Speed: 14839.796 | Time: 21.93s

[2/1331] Analyzing (a=2, b=9, c=4)...
  ✓ Samples: 5,043,189 | Chi-Sq Stat: 3498.7885 | Chi-Sq p-value: 0.0 | MAD: 0.00263 | KS D-Max: 0.01120 | Dmix: 0.011816 | Digital Mix Speed: 2548.557 | Time: 5.40s

[3/1331] Analyzing (a=2, b=9, c=5)...
  ✓ Samples: 13,272,333 | Chi-Sq Stat: 1036.8237 | Chi-Sq p-value: 0.0 | MAD: 0.00073 | KS D-Max: 0.00215 | Dmix: 0.003271 | Digital Mix Speed: 9757.462 | Time: 21.75s

[4/1331] Analyzing (a=2, b=9, c=6)...
  ✓ Samples: 5,043,176 | Chi-Sq Stat: 3495.4956 | Chi-Sq p-value: 0.0 | MAD: 0.00263 | KS D-Max: 0.01120 | Dmix: 0.011817 | Digital Mix Speed: 2548.557 | Time: 5.33s

[5/1331] Analyzing (a=2, b=9, c=7)...
  ✓ Samples: 13,251,809 | Chi-Sq Stat: 557.3783 | Chi-Sq p-value: 0.0 | MAD: 0.00069 | KS D-Max: 0.00129 | Dmix: 0.003120 | Digital Mix Speed: 10322.138 | Time: 21.54s

[6/1331] Analyzing (a=2, b=9, c=8)...
  ✓ Samples: 5,043,176 | Chi-Sq Stat: 3501.5488 | Chi-Sq p-value: 0.0 | MAD: 0.00263 | KS D-Max: 0.01122 | Dmix: 0.011836 | Digital Mix Speed: 2548.557 | Time: 5.16s

[7/1331] Analyzing (a=2, b=9, c=9)...
  ✓ Samples: 13,292,236 | Chi-Sq Stat: 2551.4712 | Chi-Sq p-value: 0.0 | MAD: 0.00115 | KS D-Max: 0.00328 | Dmix: 0.005170 | Digital Mix Speed: 6194.433 | Time: 21.68s

[8/1331] Analyzing (a=2, b=9, c=10)...
  ✓ Samples: 5,043,166 | Chi-Sq Stat: 3501.8749 | Chi-Sq p-value: 0.0 | MAD: 0.00263 | KS D-Max: 0.01123 | Dmix: 0.011836 | Digital Mix Speed: 2548.556 | Time: 5.36s

[9/1331] Analyzing (a=2, b=9, c=11)...
  ✓ Samples: 13,251,604 | Chi-Sq Stat: 602.2741 | Chi-Sq p-value: 0.0 | MAD: 0.00067 | KS D-Max: 0.00201 | Dmix: 0.003010 | Digital Mix Speed: 10630.251 | Time: 21.63s

[10/1331] Analyzing (a=2, b=9, c=12)...
  ✓ Samples: 5,043,160 | Chi-Sq Stat: 3512.6571 | Chi-Sq p-value: 0.0 | MAD: 0.00263 | KS D-Max: 0.01124 | Dmix: 0.011853 | Digital Mix Speed: 2548.556 | Time: 5.31s

[11/1331] Analyzing (a=2, b=9, c=13)...
  ✓ Samples: 13,258,269 | Chi-Sq Stat: 532.8774 | Chi-Sq p-value: 0.0 | MAD: 0.00061 | KS D-Max: 0.00158 | Dmix: 0.002749 | Digital Mix Speed: 11676.208 | Time: 21.57s

[12/1331] Analyzing (a=2, b=10, c=3)...
  ✓ Samples: 4,830,331 | Chi-Sq Stat: 388651.4892 | Chi-Sq p-value: 0.0 | MAD: 0.02590 | KS D-Max: 0.11654 | Dmix: 0.116542 | Digital Mix Speed: 258.069 | Time: 5.02s

[13/1331] Analyzing (a=2, b=10, c=4)...
  ✓ Samples: 6,789,590 | Chi-Sq Stat: 1028.6026 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00291 | Dmix: 0.005236 | Digital Mix Speed: 5889.520 | Time: 8.36s

[14/1331] Analyzing (a=2, b=10, c=5)...
  ✓ Samples: 4,830,331 | Chi-Sq Stat: 388651.4892 | Chi-Sq p-value: 0.0 | MAD: 0.02590 | KS D-Max: 0.11654 | Dmix: 0.116542 | Digital Mix Speed: 258.069 | Time: 5.05s

[15/1331] Analyzing (a=2, b=10, c=6)...
  ✓ Samples: 45,552,534 | Chi-Sq Stat: 2739.6892 | Chi-Sq p-value: 0.0 | MAD: 0.00070 | KS D-Max: 0.00163 | Dmix: 0.003138 | Digital Mix Speed: 10940.732 | Time: 151.09s

[16/1331] Analyzing (a=2, b=10, c=7)...
  ✓ Samples: 4,830,331 | Chi-Sq Stat: 388651.4892 | Chi-Sq p-value: 0.0 | MAD: 0.02590 | KS D-Max: 0.11654 | Dmix: 0.116542 | Digital Mix Speed: 258.069 | Time: 4.95s

[17/1331] Analyzing (a=2, b=10, c=8)...
  ✓ Samples: 6,789,569 | Chi-Sq Stat: 1035.4321 | Chi-Sq p-value: 0.0 | MAD: 0.00117 | KS D-Max: 0.00291 | Dmix: 0.005256 | Digital Mix Speed: 5839.181 | Time: 8.48s

[18/1331] Analyzing (a=2, b=10, c=9)...
  ✓ Samples: 4,830,331 | Chi-Sq Stat: 388651.4892 | Chi-Sq p-value: 0.0 | MAD: 0.02590 | KS D-Max: 0.11654 | Dmix: 0.116542 | Digital Mix Speed: 258.069 | Time: 4.99s

[19/1331] Analyzing (a=2, b=10, c=10)...
  ✓ Samples: 44,876,011 | Chi-Sq Stat: 15008.6130 | Chi-Sq p-value: 0.0 | MAD: 0.00153 | KS D-Max: 0.00290 | Dmix: 0.006884 | Digital Mix Speed: 5001.317 | Time: 149.09s

[20/1331] Analyzing (a=2, b=10, c=11)...
  ✓ Samples: 4,830,295 | Chi-Sq Stat: 388638.7469 | Chi-Sq p-value: 0.0 | MAD: 0.02588 | KS D-Max: 0.11647 | Dmix: 0.116471 | Digital Mix Speed: 258.268 | Time: 5.10s

[21/1331] Analyzing (a=2, b=10, c=12)...
  ✓ Samples: 6,789,569 | Chi-Sq Stat: 1027.8104 | Chi-Sq p-value: 0.0 | MAD: 0.00116 | KS D-Max: 0.00291 | Dmix: 0.005239 | Digital Mix Speed: 5889.519 | Time: 8.33s

[22/1331] Analyzing (a=2, b=10, c=13)...
  ✓ Samples: 4,830,295 | Chi-Sq Stat: 388638.7469 | Chi-Sq p-value: 0.0 | MAD: 0.02588 | KS D-Max: 0.11647 | Dmix: 0.116471 | Digital Mix Speed: 258.268 | Time: 4.93s

[23/1331] Analyzing (a=2, b=11, c=3)...
  ✓ Samples: 10,682,055 | Chi-Sq Stat: 218.5424 | Chi-Sq p-value: 0.0 | MAD: 0.00039 | KS D-Max: 0.00121 | Dmix: 0.001737 | Digital Mix Speed: 18022.192 | Time: 16.18s

[24/1331] Analyzing (a=2, b=11, c=4)...
  ✓ Samples: 4,640,672 | Chi-Sq Stat: 935.8426 | Chi-Sq p-value: 0.0 | MAD: 0.00113 | KS D-Max: 0.00302 | Dmix: 0.005100 | Digital Mix Speed: 5899.629 | Time: 4.77s

[25/1331] Analyzing (a=2, b=11, c=5)...
  ✓ Samples: 10,667,142 | Chi-Sq Stat: 197.1534 | Chi-Sq p-value: 0.0 | MAD: 0.00038 | KS D-Max: 0.00121 | Dmix: 0.001705 | Digital Mix Speed: 18494.863 | Time: 16.12s

[26/1331] Analyzing (a=2, b=11, c=6)...
  ✓ Samples: 4,640,672 | Chi-Sq Stat: 937.6060 | Chi-Sq p-value: 0.0 | MAD: 0.00113 | KS D-Max: 0.00302 | Dmix: 0.005090 | Digital Mix Speed: 5899.629 | Time: 4.73s

[27/1331] Analyzing (a=2, b=11, c=7)...
  ✓ Samples: 10,667,421 | Chi-Sq Stat: 222.9531 | Chi-Sq p-value: 0.0 | MAD: 0.00045 | KS D-Max: 0.00186 | Dmix: 0.002021 | Digital Mix Speed: 15617.910 | Time: 16.15s

[28/1331] Analyzing (a=2, b=11, c=8)...
  ✓ Samples: 4,640,672 | Chi-Sq Stat: 936.5199 | Chi-Sq p-value: 0.0 | MAD: 0.00113 | KS D-Max: 0.00302 | Dmix: 0.005091 | Digital Mix Speed: 5899.629 | Time: 4.87s

[29/1331] Analyzing (a=2, b=11, c=9)...
  ✓ Samples: 10,671,398 | Chi-Sq Stat: 349.3817 | Chi-Sq p-value: 0.0 | MAD: 0.00055 | KS D-Max: 0.00205 | Dmix: 0.002468 | Digital Mix Speed: 12778.584 | Time: 16.14s

[30/1331] Analyzing (a=2, b=11, c=10)...
  ✓ Samples: 4,640,665 | Chi-Sq Stat: 938.4647 | Chi-Sq p-value: 0.0 | MAD: 0.00113 | KS D-Max: 0.00303 | Dmix: 0.005082 | Digital Mix Speed: 5899.629 | Time: 4.69s

[31/1331] Analyzing (a=2, b=11, c=11)...
  ✓ Samples: 10,678,662 | Chi-Sq Stat: 303.5800 | Chi-Sq p-value: 0.0 | MAD: 0.00056 | KS D-Max: 0.00137 | Dmix: 0.002540 | Digital Mix Speed: 12550.923 | Time: 16.21s

[32/1331] Analyzing (a=2, b=11, c=12)...
  ✓ Samples: 4,640,665 | Chi-Sq Stat: 947.8442 | Chi-Sq p-value: 0.0 | MAD: 0.00113 | KS D-Max: 0.00305 | Dmix: 0.005082 | Digital Mix Speed: 5899.629 | Time: 4.82s

[33/1331] Analyzing (a=2, b=11, c=13)...
  ✓ Samples: 10,676,396 | Chi-Sq Stat: 515.6777 | Chi-Sq p-value: 0.0 | MAD: 0.00060 | KS D-Max: 0.00230 | Dmix: 0.002693 | Digital Mix Speed: 11714.041 | Time: 16.12s

[34/1331] Analyzing (a=2, b=12, c=3)...
  ✓ Samples: 4,486,276 | Chi-Sq Stat: 2772.8817 | Chi-Sq p-value: 0.0 | MAD: 0.00234 | KS D-Max: 0.01052 | Dmix: 0.010517 | Digital Mix Speed: 2842.686 | Time: 4.71s

[35/1331] Analyzing (a=2, b=12, c=4)...
  ✓ Samples: 3,664,886 | Chi-Sq Stat: 67054.2214 | Chi-Sq p-value: 0.0 | MAD: 0.00995 | KS D-Max: 0.03611 | Dmix: 0.044795 | Digital Mix Speed: 659.705 | Time: 4.30s

[36/1331] Analyzing (a=2, b=12, c=5)...
  ✓ Samples: 4,486,259 | Chi-Sq Stat: 2769.3898 | Chi-Sq p-value: 0.0 | MAD: 0.00233 | KS D-Max: 0.01050 | Dmix: 0.010504 | Digital Mix Speed: 2854.886 | Time: 4.68s

[37/1331] Analyzing (a=2, b=12, c=6)...
  ✓ Samples: 6,126,363 | Chi-Sq Stat: 1241.1783 | Chi-Sq p-value: 0.0 | MAD: 0.00141 | KS D-Max: 0.00403 | Dmix: 0.006353 | Digital Mix Speed: 4813.619 | Time: 7.26s

[38/1331] Analyzing (a=2, b=12, c=7)...
  ✓ Samples: 4,486,259 | Chi-Sq Stat: 2766.0589 | Chi-Sq p-value: 0.0 | MAD: 0.00233 | KS D-Max: 0.01051 | Dmix: 0.010507 | Digital Mix Speed: 2854.886 | Time: 4.73s

[39/1331] Analyzing (a=2, b=12, c=8)...
  ✓ Samples: 9,833,826 | Chi-Sq Stat: 652.0867 | Chi-Sq p-value: 0.0 | MAD: 0.00078 | KS D-Max: 0.00154 | Dmix: 0.003516 | Digital Mix Speed: 8965.029 | Time: 14.20s

[40/1331] Analyzing (a=2, b=12, c=9)...
  ✓ Samples: 4,486,259 | Chi-Sq Stat: 2759.7652 | Chi-Sq p-value: 0.0 | MAD: 0.00233 | KS D-Max: 0.01050 | Dmix: 0.010497 | Digital Mix Speed: 2854.886 | Time: 4.68s

[41/1331] Analyzing (a=2, b=12, c=10)...
  ✓ Samples: 6,126,363 | Chi-Sq Stat: 1205.7598 | Chi-Sq p-value: 0.0 | MAD: 0.00139 | KS D-Max: 0.00400 | Dmix: 0.006258 | Digital Mix Speed: 4882.880 | Time: 7.25s

[42/1331] Analyzing (a=2, b=12, c=11)...
  ✓ Samples: 4,486,259 | Chi-Sq Stat: 2761.2925 | Chi-Sq p-value: 0.0 | MAD: 0.00233 | KS D-Max: 0.01050 | Dmix: 0.010498 | Digital Mix Speed: 2854.886 | Time: 4.73s

[43/1331] Analyzing (a=2, b=12, c=12)...
  ✓ Samples: 3,402,885 | Chi-Sq Stat: 85410.7794 | Chi-Sq p-value: 0.0 | MAD: 0.01297 | KS D-Max: 0.03348 | Dmix: 0.058354 | Digital Mix Speed: 503.612 | Time: 4.01s

[44/1331] Analyzing (a=2, b=12, c=13)...
  ✓ Samples: 4,486,250 | Chi-Sq Stat: 2757.6236 | Chi-Sq p-value: 0.0 | MAD: 0.00233 | KS D-Max: 0.01049 | Dmix: 0.010485 | Digital Mix Speed: 2854.886 | Time: 4.77s

[45/1331] Analyzing (a=2, b=13, c=3)...
  ✓ Samples: 9,199,872 | Chi-Sq Stat: 267.4111 | Chi-Sq p-value: 0.0 | MAD: 0.00050 | KS D-Max: 0.00222 | Dmix: 0.002233 | Digital Mix Speed: 13927.564 | Time: 13.47s

[46/1331] Analyzing (a=2, b=13, c=4)...
  ✓ Samples: 4,350,935 | Chi-Sq Stat: 766.8809 | Chi-Sq p-value: 0.0 | MAD: 0.00099 | KS D-Max: 0.00432 | Dmix: 0.004439 | Digital Mix Speed: 6705.639 | Time: 4.63s

[47/1331] Analyzing (a=2, b=13, c=5)...
  ✓ Samples: 9,209,790 | Chi-Sq Stat: 389.6255 | Chi-Sq p-value: 0.0 | MAD: 0.00060 | KS D-Max: 0.00271 | Dmix: 0.002709 | Digital Mix Speed: 11607.083 | Time: 13.49s

[48/1331] Analyzing (a=2, b=13, c=6)...
  ✓ Samples: 4,350,935 | Chi-Sq Stat: 770.1399 | Chi-Sq p-value: 0.0 | MAD: 0.00099 | KS D-Max: 0.00432 | Dmix: 0.004442 | Digital Mix Speed: 6705.639 | Time: 4.40s

[49/1331] Analyzing (a=2, b=13, c=7)...
  ✓ Samples: 9,208,888 | Chi-Sq Stat: 445.0404 | Chi-Sq p-value: 0.0 | MAD: 0.00071 | KS D-Max: 0.00289 | Dmix: 0.003178 | Digital Mix Speed: 9808.743 | Time: 13.52s

[50/1331] Analyzing (a=2, b=13, c=8)...
  ✓ Samples: 4,350,935 | Chi-Sq Stat: 772.8216 | Chi-Sq p-value: 0.0 | MAD: 0.00099 | KS D-Max: 0.00434 | Dmix: 0.004467 | Digital Mix Speed: 6705.639 | Time: 4.57s

[51/1331] Analyzing (a=2, b=13, c=9)...
  ✓ Samples: 9,179,792 | Chi-Sq Stat: 518.2575 | Chi-Sq p-value: 0.0 | MAD: 0.00069 | KS D-Max: 0.00308 | Dmix: 0.003101 | Digital Mix Speed: 10091.062 | Time: 13.65s

[52/1331] Analyzing (a=2, b=13, c=10)...
  ✓ Samples: 4,350,921 | Chi-Sq Stat: 774.2429 | Chi-Sq p-value: 0.0 | MAD: 0.00100 | KS D-Max: 0.00435 | Dmix: 0.004485 | Digital Mix Speed: 6638.581 | Time: 4.47s

[53/1331] Analyzing (a=2, b=13, c=11)...
  ✓ Samples: 9,196,192 | Chi-Sq Stat: 452.9459 | Chi-Sq p-value: 0.0 | MAD: 0.00067 | KS D-Max: 0.00302 | Dmix: 0.003024 | Digital Mix Speed: 10393.445 | Time: 13.45s

[54/1331] Analyzing (a=2, b=13, c=12)...
  ✓ Samples: 4,350,921 | Chi-Sq Stat: 763.7760 | Chi-Sq p-value: 0.0 | MAD: 0.00099 | KS D-Max: 0.00433 | Dmix: 0.004446 | Digital Mix Speed: 6705.638 | Time: 4.48s

[55/1331] Analyzing (a=2, b=13, c=13)...
  ✓ Samples: 9,232,255 | Chi-Sq Stat: 396.3071 | Chi-Sq p-value: 0.0 | MAD: 0.00047 | KS D-Max: 0.00182 | Dmix: 0.002099 | Digital Mix Speed: 14819.804 | Time: 13.60s

[56/1331] Analyzing (a=2, b=14, c=3)...
  ✓ Samples: 4,237,983 | Chi-Sq Stat: 243.6299 | Chi-Sq p-value: 0.0 | MAD: 0.00070 | KS D-Max: 0.00315 | Dmix: 0.003151 | Digital Mix Speed: 9467.370 | Time: 4.46s

[57/1331] Analyzing (a=2, b=14, c=4)...
  ✓ Samples: 5,660,382 | Chi-Sq Stat: 1048.9905 | Chi-Sq p-value: 0.0 | MAD: 0.00127 | KS D-Max: 0.00531 | Dmix: 0.005698 | Digital Mix Speed: 5317.201 | Time: 6.67s

[58/1331] Analyzing (a=2, b=14, c=5)...
  ✓ Samples: 4,237,983 | Chi-Sq Stat: 244.0042 | Chi-Sq p-value: 0.0 | MAD: 0.00070 | KS D-Max: 0.00316 | Dmix: 0.003156 | Digital Mix Speed: 9467.370 | Time: 4.48s

