Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (22, 33, 11)
Cube side length: 7
Total parameter points: 343
Holes (trivial states): 0
Points to scan: 343
Initial range: N=1 to 100000
==================================================

[1/343] Analyzing (a=19, b=30, c=8)...
  ✓ Samples: 3,239,824 | Chi-Sq Stat: 3636.9695 | Chi-Sq p-value: 0.0 | MAD: 0.00308 | KS D-Max: 0.00970 | Dmix: 0.013847 | Digital Mix Speed: 2113.806 | Time: 3.21s

[2/343] Analyzing (a=19, b=30, c=9)...
  ✓ Samples: 3,239,814 | Chi-Sq Stat: 3661.7001 | Chi-Sq p-value: 0.0 | MAD: 0.00308 | KS D-Max: 0.00971 | Dmix: 0.013869 | Digital Mix Speed: 2113.805 | Time: 3.36s

[3/343] Analyzing (a=19, b=30, c=10)...
  ✓ Samples: 3,239,857 | Chi-Sq Stat: 3635.5360 | Chi-Sq p-value: 0.0 | MAD: 0.00308 | KS D-Max: 0.00969 | Dmix: 0.013843 | Digital Mix Speed: 2113.807 | Time: 3.06s

[4/343] Analyzing (a=19, b=30, c=11)...
  ✓ Samples: 3,239,826 | Chi-Sq Stat: 3653.6425 | Chi-Sq p-value: 0.0 | MAD: 0.00308 | KS D-Max: 0.00970 | Dmix: 0.013869 | Digital Mix Speed: 2113.806 | Time: 3.17s

[5/343] Analyzing (a=19, b=30, c=12)...
  ✓ Samples: 3,239,794 | Chi-Sq Stat: 3634.3480 | Chi-Sq p-value: 0.0 | MAD: 0.00307 | KS D-Max: 0.00969 | Dmix: 0.013816 | Digital Mix Speed: 2120.690 | Time: 3.26s

[6/343] Analyzing (a=19, b=30, c=13)...
  ✓ Samples: 3,239,826 | Chi-Sq Stat: 3657.7211 | Chi-Sq p-value: 0.0 | MAD: 0.00308 | KS D-Max: 0.00971 | Dmix: 0.013872 | Digital Mix Speed: 2113.806 | Time: 3.11s

[7/343] Analyzing (a=19, b=30, c=14)...
  ✓ Samples: 3,239,820 | Chi-Sq Stat: 3682.8730 | Chi-Sq p-value: 0.0 | MAD: 0.00309 | KS D-Max: 0.00973 | Dmix: 0.013921 | Digital Mix Speed: 2106.965 | Time: 3.19s

[8/343] Analyzing (a=19, b=31, c=8)...
  ✓ Samples: 3,252,381 | Chi-Sq Stat: 11040.3897 | Chi-Sq p-value: 0.0 | MAD: 0.00393 | KS D-Max: 0.01390 | Dmix: 0.017671 | Digital Mix Speed: 1657.049 | Time: 3.21s

[9/343] Analyzing (a=19, b=31, c=9)...
  ✓ Samples: 3,252,510 | Chi-Sq Stat: 11116.2578 | Chi-Sq p-value: 0.0 | MAD: 0.00394 | KS D-Max: 0.01394 | Dmix: 0.017725 | Digital Mix Speed: 1652.847 | Time: 3.20s

[10/343] Analyzing (a=19, b=31, c=10)...
  ✓ Samples: 3,252,499 | Chi-Sq Stat: 10997.0838 | Chi-Sq p-value: 0.0 | MAD: 0.00391 | KS D-Max: 0.01388 | Dmix: 0.017603 | Digital Mix Speed: 1665.529 | Time: 3.11s

[11/343] Analyzing (a=19, b=31, c=11)...
  ✓ Samples: 3,252,545 | Chi-Sq Stat: 11047.6543 | Chi-Sq p-value: 0.0 | MAD: 0.00392 | KS D-Max: 0.01394 | Dmix: 0.017642 | Digital Mix Speed: 1661.281 | Time: 3.26s

[12/343] Analyzing (a=19, b=31, c=12)...
  ✓ Samples: 3,252,537 | Chi-Sq Stat: 10926.5365 | Chi-Sq p-value: 0.0 | MAD: 0.00390 | KS D-Max: 0.01386 | Dmix: 0.017562 | Digital Mix Speed: 1669.801 | Time: 3.14s

[13/343] Analyzing (a=19, b=31, c=13)...
  ✓ Samples: 3,252,476 | Chi-Sq Stat: 10903.4364 | Chi-Sq p-value: 0.0 | MAD: 0.00390 | KS D-Max: 0.01387 | Dmix: 0.017540 | Digital Mix Speed: 1669.798 | Time: 3.21s

[14/343] Analyzing (a=19, b=31, c=14)...
  ✓ Samples: 3,252,458 | Chi-Sq Stat: 10923.2090 | Chi-Sq p-value: 0.0 | MAD: 0.00390 | KS D-Max: 0.01385 | Dmix: 0.017555 | Digital Mix Speed: 1669.798 | Time: 3.31s

[15/343] Analyzing (a=19, b=32, c=8)...
  ✓ Samples: 3,442,887 | Chi-Sq Stat: 10403.4394 | Chi-Sq p-value: 0.0 | MAD: 0.00412 | KS D-Max: 0.01307 | Dmix: 0.018533 | Digital Mix Speed: 1586.632 | Time: 3.39s

[16/343] Analyzing (a=19, b=32, c=9)...
  ✓ Samples: 3,442,128 | Chi-Sq Stat: 10551.2020 | Chi-Sq p-value: 0.0 | MAD: 0.00417 | KS D-Max: 0.01325 | Dmix: 0.018761 | Digital Mix Speed: 1567.584 | Time: 3.46s

[17/343] Analyzing (a=19, b=32, c=10)...
