Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (21, 14, 12)
Cube side length: 7
Total parameter points: 343
Holes (trivial states): 0
Points to scan: 343
Initial range: N=1 to 100000
==================================================

[1/343] Analyzing (a=18, b=11, c=9)...
  ✓ Samples: 4,536,198 | Chi-Sq Stat: 4918.8330 | Chi-Sq p-value: 0.0 | MAD: 0.00318 | KS D-Max: 0.01152 | Dmix: 0.014302 | Digital Mix Speed: 2093.299 | Time: 4.77s

[2/343] Analyzing (a=18, b=11, c=10)...
  ✓ Samples: 4,579,243 | Chi-Sq Stat: 2976.5050 | Chi-Sq p-value: 0.0 | MAD: 0.00241 | KS D-Max: 0.00571 | Dmix: 0.010856 | Digital Mix Speed: 2763.815 | Time: 4.56s

[3/343] Analyzing (a=18, b=11, c=11)...
  ✓ Samples: 4,579,346 | Chi-Sq Stat: 3006.5306 | Chi-Sq p-value: 0.0 | MAD: 0.00242 | KS D-Max: 0.00573 | Dmix: 0.010904 | Digital Mix Speed: 2752.398 | Time: 4.69s

[4/343] Analyzing (a=18, b=11, c=12)...
  ✓ Samples: 4,536,192 | Chi-Sq Stat: 4917.9015 | Chi-Sq p-value: 0.0 | MAD: 0.00318 | KS D-Max: 0.01151 | Dmix: 0.014299 | Digital Mix Speed: 2093.299 | Time: 4.56s

[5/343] Analyzing (a=18, b=11, c=13)...
  ✓ Samples: 4,579,230 | Chi-Sq Stat: 2996.9595 | Chi-Sq p-value: 0.0 | MAD: 0.00242 | KS D-Max: 0.00571 | Dmix: 0.010892 | Digital Mix Speed: 2752.394 | Time: 4.68s

[6/343] Analyzing (a=18, b=11, c=14)...
  ✓ Samples: 4,578,981 | Chi-Sq Stat: 2964.8488 | Chi-Sq p-value: 0.0 | MAD: 0.00241 | KS D-Max: 0.00568 | Dmix: 0.010826 | Digital Mix Speed: 2763.804 | Time: 4.85s

[7/343] Analyzing (a=18, b=11, c=15)...
  ✓ Samples: 4,536,186 | Chi-Sq Stat: 4913.6393 | Chi-Sq p-value: 0.0 | MAD: 0.00318 | KS D-Max: 0.01153 | Dmix: 0.014294 | Digital Mix Speed: 2093.299 | Time: 4.59s

[8/343] Analyzing (a=18, b=12, c=9)...
  ✓ Samples: 4,364,632 | Chi-Sq Stat: 8323.8075 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018104 | Digital Mix Speed: 1651.728 | Time: 4.51s

[9/343] Analyzing (a=18, b=12, c=10)...
  ✓ Samples: 4,364,632 | Chi-Sq Stat: 8324.0017 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018106 | Digital Mix Speed: 1651.728 | Time: 4.30s

[10/343] Analyzing (a=18, b=12, c=11)...
  ✓ Samples: 4,364,632 | Chi-Sq Stat: 8324.1961 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018106 | Digital Mix Speed: 1651.728 | Time: 4.46s

[11/343] Analyzing (a=18, b=12, c=12)...
  ✓ Samples: 4,438,948 | Chi-Sq Stat: 5275.6603 | Chi-Sq p-value: 0.0 | MAD: 0.00306 | KS D-Max: 0.01376 | Dmix: 0.013762 | Digital Mix Speed: 2172.314 | Time: 4.45s

[12/343] Analyzing (a=18, b=12, c=13)...
  ✓ Samples: 4,364,630 | Chi-Sq Stat: 8322.3659 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018101 | Digital Mix Speed: 1651.728 | Time: 4.48s

[13/343] Analyzing (a=18, b=12, c=14)...
  ✓ Samples: 4,364,630 | Chi-Sq Stat: 8325.5098 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018101 | Digital Mix Speed: 1651.728 | Time: 4.44s

[14/343] Analyzing (a=18, b=12, c=15)...
  ✓ Samples: 4,364,627 | Chi-Sq Stat: 8326.3133 | Chi-Sq p-value: 0.0 | MAD: 0.00402 | KS D-Max: 0.01331 | Dmix: 0.018103 | Digital Mix Speed: 1651.728 | Time: 4.51s

[15/343] Analyzing (a=18, b=13, c=9)...
  ✓ Samples: 4,242,425 | Chi-Sq Stat: 1961.4414 | Chi-Sq p-value: 0.0 | MAD: 0.00195 | KS D-Max: 0.00490 | Dmix: 0.008794 | Digital Mix Speed: 3398.776 | Time: 4.28s

[16/343] Analyzing (a=18, b=13, c=10)...
  ✓ Samples: 4,340,467 | Chi-Sq Stat: 2439.0635 | Chi-Sq p-value: 0.0 | MAD: 0.00230 | KS D-Max: 0.00543 | Dmix: 0.010371 | Digital Mix Speed: 2885.885 | Time: 4.33s

[17/343] Analyzing (a=18, b=13, c=11)...
