Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (100, 31, 17)
Cube side length: 5
Total parameter points: 125
Holes (trivial states): 0
Points to scan: 125
Initial range: N=1 to 100000
==================================================

[1/125] Analyzing (a=98, b=29, c=15)...
  ✓ Samples: 3,309,289 | Chi-Sq Stat: 2463.9075 | Chi-Sq p-value: 0.0 | MAD: 0.00212 | KS D-Max: 0.00662 | Dmix: 0.009533 | Digital Mix Speed: 3075.347 | Time: 3.50s

[2/125] Analyzing (a=98, b=29, c=16)...
  ✓ Samples: 3,309,253 | Chi-Sq Stat: 2476.2459 | Chi-Sq p-value: 0.0 | MAD: 0.00213 | KS D-Max: 0.00660 | Dmix: 0.009596 | Digital Mix Speed: 3060.906 | Time: 3.31s

[3/125] Analyzing (a=98, b=29, c=17)...
  ✓ Samples: 3,309,281 | Chi-Sq Stat: 2475.3648 | Chi-Sq p-value: 0.0 | MAD: 0.00213 | KS D-Max: 0.00661 | Dmix: 0.009563 | Digital Mix Speed: 3060.908 | Time: 3.20s

[4/125] Analyzing (a=98, b=29, c=18)...
  ✓ Samples: 3,309,266 | Chi-Sq Stat: 2481.4590 | Chi-Sq p-value: 0.0 | MAD: 0.00213 | KS D-Max: 0.00660 | Dmix: 0.009602 | Digital Mix Speed: 3060.907 | Time: 3.40s

[5/125] Analyzing (a=98, b=29, c=19)...
  ✓ Samples: 3,309,272 | Chi-Sq Stat: 2474.7867 | Chi-Sq p-value: 0.0 | MAD: 0.00213 | KS D-Max: 0.00663 | Dmix: 0.009581 | Digital Mix Speed: 3060.907 | Time: 3.21s

[6/125] Analyzing (a=98, b=30, c=15)...
  ✓ Samples: 3,219,091 | Chi-Sq Stat: 5850.9633 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016773 | Digital Mix Speed: 1744.701 | Time: 3.13s

[7/125] Analyzing (a=98, b=30, c=16)...
  ✓ Samples: 3,226,704 | Chi-Sq Stat: 5815.4273 | Chi-Sq p-value: 0.0 | MAD: 0.00367 | KS D-Max: 0.01062 | Dmix: 0.016502 | Digital Mix Speed: 1773.504 | Time: 3.28s

[8/125] Analyzing (a=98, b=30, c=17)...
  ✓ Samples: 3,219,091 | Chi-Sq Stat: 5849.4049 | Chi-Sq p-value: 0.0 | MAD: 0.00372 | KS D-Max: 0.01079 | Dmix: 0.016762 | Digital Mix Speed: 1749.391 | Time: 3.03s

[9/125] Analyzing (a=98, b=30, c=18)...
  ✓ Samples: 3,226,710 | Chi-Sq Stat: 5809.6625 | Chi-Sq p-value: 0.0 | MAD: 0.00366 | KS D-Max: 0.01060 | Dmix: 0.016490 | Digital Mix Speed: 1778.350 | Time: 3.11s

[10/125] Analyzing (a=98, b=30, c=19)...
  ✓ Samples: 3,219,091 | Chi-Sq Stat: 5849.9182 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016764 | Digital Mix Speed: 1744.701 | Time: 3.13s

[11/125] Analyzing (a=98, b=31, c=15)...
  ✓ Samples: 3,214,485 | Chi-Sq Stat: 36034.8908 | Chi-Sq p-value: 0.0 | MAD: 0.00867 | KS D-Max: 0.02067 | Dmix: 0.039012 | Digital Mix Speed: 750.532 | Time: 3.15s

[12/125] Analyzing (a=98, b=31, c=16)...
  ✓ Samples: 3,214,472 | Chi-Sq Stat: 36045.5129 | Chi-Sq p-value: 0.0 | MAD: 0.00867 | KS D-Max: 0.02067 | Dmix: 0.039018 | Digital Mix Speed: 750.532 | Time: 3.11s

[13/125] Analyzing (a=98, b=31, c=17)...
  ✓ Samples: 3,214,471 | Chi-Sq Stat: 36045.4775 | Chi-Sq p-value: 0.0 | MAD: 0.00867 | KS D-Max: 0.02068 | Dmix: 0.039015 | Digital Mix Speed: 750.532 | Time: 3.29s

[14/125] Analyzing (a=98, b=31, c=18)...
  ✓ Samples: 3,214,458 | Chi-Sq Stat: 36055.8367 | Chi-Sq p-value: 0.0 | MAD: 0.00867 | KS D-Max: 0.02067 | Dmix: 0.039022 | Digital Mix Speed: 750.531 | Time: 3.16s

[15/125] Analyzing (a=98, b=31, c=19)...
