Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (18, 14, 15)
Cube side length: 11
Total parameter points: 1331
Holes (trivial states): 0
Points to scan: 1331
Initial range: N=1 to 100000
==================================================

[1/1331] Analyzing (a=13, b=9, c=10)...
  ✓ Samples: 4,958,183 | Chi-Sq Stat: 10950.9343 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01944 | Dmix: 0.020966 | Digital Mix Speed: 1436.764 | Time: 5.32s

[2/1331] Analyzing (a=13, b=9, c=11)...
  ✓ Samples: 4,958,433 | Chi-Sq Stat: 10919.1570 | Chi-Sq p-value: 0.0 | MAD: 0.00465 | KS D-Max: 0.01939 | Dmix: 0.020922 | Digital Mix Speed: 1439.859 | Time: 5.37s

[3/1331] Analyzing (a=13, b=9, c=12)...
  ✓ Samples: 4,957,840 | Chi-Sq Stat: 10967.9011 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01945 | Dmix: 0.020982 | Digital Mix Speed: 1436.758 | Time: 5.19s

[4/1331] Analyzing (a=13, b=9, c=13)...
  ✓ Samples: 4,934,730 | Chi-Sq Stat: 13208.4470 | Chi-Sq p-value: 0.0 | MAD: 0.00511 | KS D-Max: 0.02143 | Dmix: 0.022973 | Digital Mix Speed: 1309.836 | Time: 5.35s

[5/1331] Analyzing (a=13, b=9, c=14)...
  ✓ Samples: 4,958,395 | Chi-Sq Stat: 10964.6392 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01945 | Dmix: 0.020979 | Digital Mix Speed: 1436.768 | Time: 5.20s

[6/1331] Analyzing (a=13, b=9, c=15)...
  ✓ Samples: 4,958,475 | Chi-Sq Stat: 10971.3691 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01947 | Dmix: 0.020988 | Digital Mix Speed: 1436.770 | Time: 5.37s

[7/1331] Analyzing (a=13, b=9, c=16)...
  ✓ Samples: 4,957,883 | Chi-Sq Stat: 10930.4000 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01942 | Dmix: 0.020949 | Digital Mix Speed: 1436.759 | Time: 5.15s

[8/1331] Analyzing (a=13, b=9, c=17)...
  ✓ Samples: 4,958,384 | Chi-Sq Stat: 10958.0866 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01943 | Dmix: 0.020957 | Digital Mix Speed: 1436.768 | Time: 5.31s

[9/1331] Analyzing (a=13, b=9, c=18)...
  ✓ Samples: 4,958,402 | Chi-Sq Stat: 10941.7656 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01943 | Dmix: 0.020951 | Digital Mix Speed: 1436.769 | Time: 5.19s

[10/1331] Analyzing (a=13, b=9, c=19)...
  ✓ Samples: 4,958,238 | Chi-Sq Stat: 10944.8184 | Chi-Sq p-value: 0.0 | MAD: 0.00466 | KS D-Max: 0.01942 | Dmix: 0.020951 | Digital Mix Speed: 1436.766 | Time: 5.35s

[11/1331] Analyzing (a=13, b=9, c=20)...
  ✓ Samples: 4,958,133 | Chi-Sq Stat: 10936.5865 | Chi-Sq p-value: 0.0 | MAD: 0.00465 | KS D-Max: 0.01942 | Dmix: 0.020941 | Digital Mix Speed: 1439.853 | Time: 5.20s

[12/1331] Analyzing (a=13, b=10, c=10)...
  ✓ Samples: 4,808,847 | Chi-Sq Stat: 856706.7602 | Chi-Sq p-value: 0.0 | MAD: 0.04282 | KS D-Max: 0.19268 | Dmix: 0.192679 | Digital Mix Speed: 156.050 | Time: 5.17s

[13/1331] Analyzing (a=13, b=10, c=11)...
  ✓ Samples: 4,808,611 | Chi-Sq Stat: 854551.5632 | Chi-Sq p-value: 0.0 | MAD: 0.04278 | KS D-Max: 0.19252 | Dmix: 0.192518 | Digital Mix Speed: 156.195 | Time: 5.02s

[14/1331] Analyzing (a=13, b=10, c=12)...
  ✓ Samples: 4,808,476 | Chi-Sq Stat: 858946.0899 | Chi-Sq p-value: 0.0 | MAD: 0.04287 | KS D-Max: 0.19290 | Dmix: 0.192895 | Digital Mix Speed: 155.867 | Time: 5.13s

[15/1331] Analyzing (a=13, b=10, c=13)...
  ✓ Samples: 4,727,783 | Chi-Sq Stat: 1713637.2298 | Chi-Sq p-value: 0.0 | MAD: 0.05779 | KS D-Max: 0.26006 | Dmix: 0.260058 | Digital Mix Speed: 115.498 | Time: 4.79s

[16/1331] Analyzing (a=13, b=10, c=14)...
  ✓ Samples: 4,808,671 | Chi-Sq Stat: 857856.3119 | Chi-Sq p-value: 0.0 | MAD: 0.04277 | KS D-Max: 0.19247 | Dmix: 0.192470 | Digital Mix Speed: 156.232 | Time: 5.10s

[17/1331] Analyzing (a=13, b=10, c=15)...
  ✓ Samples: 4,808,180 | Chi-Sq Stat: 857384.6983 | Chi-Sq p-value: 0.0 | MAD: 0.04283 | KS D-Max: 0.19274 | Dmix: 0.192740 | Digital Mix Speed: 156.012 | Time: 4.91s

[18/1331] Analyzing (a=13, b=10, c=16)...
  ✓ Samples: 4,808,410 | Chi-Sq Stat: 852100.9844 | Chi-Sq p-value: 0.0 | MAD: 0.04264 | KS D-Max: 0.19189 | Dmix: 0.191889 | Digital Mix Speed: 156.707 | Time: 5.13s

[19/1331] Analyzing (a=13, b=10, c=17)...
  ✓ Samples: 4,808,449 | Chi-Sq Stat: 856223.9456 | Chi-Sq p-value: 0.0 | MAD: 0.04276 | KS D-Max: 0.19241 | Dmix: 0.192409 | Digital Mix Speed: 156.268 | Time: 4.92s

[20/1331] Analyzing (a=13, b=10, c=18)...
  ✓ Samples: 4,808,656 | Chi-Sq Stat: 855318.1500 | Chi-Sq p-value: 0.0 | MAD: 0.04278 | KS D-Max: 0.19251 | Dmix: 0.192515 | Digital Mix Speed: 156.195 | Time: 5.05s

[21/1331] Analyzing (a=13, b=10, c=19)...
  ✓ Samples: 4,808,825 | Chi-Sq Stat: 857621.8395 | Chi-Sq p-value: 0.0 | MAD: 0.04290 | KS D-Max: 0.19305 | Dmix: 0.193046 | Digital Mix Speed: 155.758 | Time: 4.92s

[22/1331] Analyzing (a=13, b=10, c=20)...
  ✓ Samples: 4,808,783 | Chi-Sq Stat: 859450.9488 | Chi-Sq p-value: 0.0 | MAD: 0.04287 | KS D-Max: 0.19294 | Dmix: 0.192936 | Digital Mix Speed: 155.867 | Time: 5.07s

[23/1331] Analyzing (a=13, b=11, c=10)...
  ✓ Samples: 5,196,288 | Chi-Sq Stat: 15497.7333 | Chi-Sq p-value: 0.0 | MAD: 0.00541 | KS D-Max: 0.01435 | Dmix: 0.024325 | Digital Mix Speed: 1241.348 | Time: 5.56s

[24/1331] Analyzing (a=13, b=11, c=11)...
  ✓ Samples: 5,196,506 | Chi-Sq Stat: 15925.7088 | Chi-Sq p-value: 0.0 | MAD: 0.00554 | KS D-Max: 0.01454 | Dmix: 0.024934 | Digital Mix Speed: 1212.222 | Time: 5.49s

[25/1331] Analyzing (a=13, b=11, c=12)...
  ✓ Samples: 5,194,302 | Chi-Sq Stat: 15877.8769 | Chi-Sq p-value: 0.0 | MAD: 0.00550 | KS D-Max: 0.01474 | Dmix: 0.024752 | Digital Mix Speed: 1221.005 | Time: 5.59s

[26/1331] Analyzing (a=13, b=11, c=13)...
  ✓ Samples: 4,533,258 | Chi-Sq Stat: 5907.1057 | Chi-Sq p-value: 0.0 | MAD: 0.00343 | KS D-Max: 0.01275 | Dmix: 0.015438 | Digital Mix Speed: 1940.644 | Time: 4.64s

[27/1331] Analyzing (a=13, b=11, c=14)...
  ✓ Samples: 5,196,397 | Chi-Sq Stat: 16389.5430 | Chi-Sq p-value: 0.0 | MAD: 0.00560 | KS D-Max: 0.01494 | Dmix: 0.025188 | Digital Mix Speed: 1199.233 | Time: 5.62s

[28/1331] Analyzing (a=13, b=11, c=15)...
  ✓ Samples: 5,194,987 | Chi-Sq Stat: 15970.7495 | Chi-Sq p-value: 0.0 | MAD: 0.00550 | KS D-Max: 0.01482 | Dmix: 0.024752 | Digital Mix Speed: 1221.015 | Time: 5.50s

[29/1331] Analyzing (a=13, b=11, c=16)...
  ✓ Samples: 5,195,936 | Chi-Sq Stat: 16652.5141 | Chi-Sq p-value: 0.0 | MAD: 0.00560 | KS D-Max: 0.01505 | Dmix: 0.025194 | Digital Mix Speed: 1199.226 | Time: 5.69s

[30/1331] Analyzing (a=13, b=11, c=17)...
  ✓ Samples: 5,194,562 | Chi-Sq Stat: 16175.5049 | Chi-Sq p-value: 0.0 | MAD: 0.00557 | KS D-Max: 0.01458 | Dmix: 0.025074 | Digital Mix Speed: 1205.664 | Time: 5.50s

[31/1331] Analyzing (a=13, b=11, c=18)...
  ✓ Samples: 5,195,721 | Chi-Sq Stat: 16587.2097 | Chi-Sq p-value: 0.0 | MAD: 0.00562 | KS D-Max: 0.01494 | Dmix: 0.025308 | Digital Mix Speed: 1194.955 | Time: 5.66s

[32/1331] Analyzing (a=13, b=11, c=19)...
  ✓ Samples: 5,195,964 | Chi-Sq Stat: 15667.2929 | Chi-Sq p-value: 0.0 | MAD: 0.00548 | KS D-Max: 0.01446 | Dmix: 0.024658 | Digital Mix Speed: 1225.487 | Time: 5.73s

[33/1331] Analyzing (a=13, b=11, c=20)...
  ✓ Samples: 5,195,308 | Chi-Sq Stat: 16043.6154 | Chi-Sq p-value: 0.0 | MAD: 0.00554 | KS D-Max: 0.01486 | Dmix: 0.024922 | Digital Mix Speed: 1212.204 | Time: 5.53s

[34/1331] Analyzing (a=13, b=12, c=10)...
  ✓ Samples: 4,378,113 | Chi-Sq Stat: 9123.9155 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018844 | Digital Mix Speed: 1585.033 | Time: 4.54s

[35/1331] Analyzing (a=13, b=12, c=11)...
  ✓ Samples: 4,378,120 | Chi-Sq Stat: 9132.0233 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018846 | Digital Mix Speed: 1585.033 | Time: 5.06s

[36/1331] Analyzing (a=13, b=12, c=12)...
  ✓ Samples: 4,377,651 | Chi-Sq Stat: 9145.7717 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01438 | Dmix: 0.018865 | Digital Mix Speed: 1585.022 | Time: 7.53s

[37/1331] Analyzing (a=13, b=12, c=13)...
  ✓ Samples: 4,368,307 | Chi-Sq Stat: 8945.6457 | Chi-Sq p-value: 0.0 | MAD: 0.00420 | KS D-Max: 0.01368 | Dmix: 0.018916 | Digital Mix Speed: 1581.027 | Time: 6.06s

[38/1331] Analyzing (a=13, b=12, c=14)...
  ✓ Samples: 4,378,108 | Chi-Sq Stat: 9136.5010 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018846 | Digital Mix Speed: 1585.033 | Time: 4.63s

[39/1331] Analyzing (a=13, b=12, c=15)...
  ✓ Samples: 4,378,119 | Chi-Sq Stat: 9135.2508 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018843 | Digital Mix Speed: 1585.033 | Time: 4.73s

[40/1331] Analyzing (a=13, b=12, c=16)...
  ✓ Samples: 4,378,067 | Chi-Sq Stat: 9139.4995 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01436 | Dmix: 0.018852 | Digital Mix Speed: 1585.032 | Time: 4.59s

[41/1331] Analyzing (a=13, b=12, c=17)...
  ✓ Samples: 4,378,110 | Chi-Sq Stat: 9145.5440 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018854 | Digital Mix Speed: 1585.033 | Time: 4.43s

[42/1331] Analyzing (a=13, b=12, c=18)...
  ✓ Samples: 4,377,973 | Chi-Sq Stat: 9134.4649 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01436 | Dmix: 0.018843 | Digital Mix Speed: 1585.029 | Time: 4.65s

[43/1331] Analyzing (a=13, b=12, c=19)...
  ✓ Samples: 4,378,103 | Chi-Sq Stat: 9136.9256 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01437 | Dmix: 0.018845 | Digital Mix Speed: 1585.032 | Time: 4.56s

[44/1331] Analyzing (a=13, b=12, c=20)...
  ✓ Samples: 4,378,058 | Chi-Sq Stat: 9124.2033 | Chi-Sq p-value: 0.0 | MAD: 0.00419 | KS D-Max: 0.01436 | Dmix: 0.018838 | Digital Mix Speed: 1585.031 | Time: 4.65s

[45/1331] Analyzing (a=13, b=13, c=10)...
  ✓ Samples: 4,239,494 | Chi-Sq Stat: 2113.6875 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008928 | Digital Mix Speed: 3347.128 | Time: 4.36s

[46/1331] Analyzing (a=13, b=13, c=11)...
  ✓ Samples: 4,239,494 | Chi-Sq Stat: 2110.2556 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008927 | Digital Mix Speed: 3347.128 | Time: 4.46s

[47/1331] Analyzing (a=13, b=13, c=12)...
  ✓ Samples: 4,239,494 | Chi-Sq Stat: 2108.0835 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008928 | Digital Mix Speed: 3347.128 | Time: 4.28s

[48/1331] Analyzing (a=13, b=13, c=13)...
  ✓ Samples: 3,158,331 | Chi-Sq Stat: 331445.9822 | Chi-Sq p-value: 0.0 | MAD: 0.03368 | KS D-Max: 0.15157 | Dmix: 0.151575 | Digital Mix Speed: 192.977 | Time: 2.90s

[49/1331] Analyzing (a=13, b=13, c=14)...
  ✓ Samples: 4,239,491 | Chi-Sq Stat: 2110.9563 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008926 | Digital Mix Speed: 3347.128 | Time: 4.46s

[50/1331] Analyzing (a=13, b=13, c=15)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2111.7913 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008928 | Digital Mix Speed: 3347.128 | Time: 4.41s

[51/1331] Analyzing (a=13, b=13, c=16)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2110.6454 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008930 | Digital Mix Speed: 3347.128 | Time: 4.45s

[52/1331] Analyzing (a=13, b=13, c=17)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2110.8123 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00518 | Dmix: 0.008924 | Digital Mix Speed: 3347.128 | Time: 4.30s

[53/1331] Analyzing (a=13, b=13, c=18)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2112.0959 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008923 | Digital Mix Speed: 3347.128 | Time: 4.45s

[54/1331] Analyzing (a=13, b=13, c=19)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2113.4113 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008926 | Digital Mix Speed: 3347.128 | Time: 4.33s

[55/1331] Analyzing (a=13, b=13, c=20)...
  ✓ Samples: 4,239,488 | Chi-Sq Stat: 2113.1090 | Chi-Sq p-value: 0.0 | MAD: 0.00198 | KS D-Max: 0.00517 | Dmix: 0.008922 | Digital Mix Speed: 3347.128 | Time: 4.33s

[56/1331] Analyzing (a=13, b=14, c=10)...
  ✓ Samples: 4,881,092 | Chi-Sq Stat: 1473.8086 | Chi-Sq p-value: 0.0 | MAD: 0.00162 | KS D-Max: 0.00728 | Dmix: 0.007282 | Digital Mix Speed: 4128.714 | Time: 5.32s

[57/1331] Analyzing (a=13, b=14, c=11)...
  ✓ Samples: 4,881,321 | Chi-Sq Stat: 1488.0621 | Chi-Sq p-value: 0.0 | MAD: 0.00163 | KS D-Max: 0.00732 | Dmix: 0.007318 | Digital Mix Speed: 4103.397 | Time: 5.31s

[58/1331] Analyzing (a=13, b=14, c=12)...
