Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (18, 14, 9)
Cube side length: 7
Total parameter points: 343
Holes (trivial states): 0
Points to scan: 343
Initial range: N=1 to 100000
==================================================

[1/343] Analyzing (a=15, b=11, c=6)...
  ✓ Samples: 4,577,137 | Chi-Sq Stat: 4053.9327 | Chi-Sq p-value: 0.0 | MAD: 0.00281 | KS D-Max: 0.00745 | Dmix: 0.012654 | Digital Mix Speed: 2370.318 | Time: 4.97s

[2/343] Analyzing (a=15, b=11, c=7)...
  ✓ Samples: 4,740,773 | Chi-Sq Stat: 19731.3756 | Chi-Sq p-value: 0.0 | MAD: 0.00642 | KS D-Max: 0.01681 | Dmix: 0.028881 | Digital Mix Speed: 1039.852 | Time: 5.08s

[3/343] Analyzing (a=15, b=11, c=8)...
  ✓ Samples: 4,741,007 | Chi-Sq Stat: 19964.2470 | Chi-Sq p-value: 0.0 | MAD: 0.00643 | KS D-Max: 0.01698 | Dmix: 0.028953 | Digital Mix Speed: 1038.238 | Time: 5.12s

[4/343] Analyzing (a=15, b=11, c=9)...
  ✓ Samples: 4,576,657 | Chi-Sq Stat: 4026.4690 | Chi-Sq p-value: 0.0 | MAD: 0.00280 | KS D-Max: 0.00742 | Dmix: 0.012606 | Digital Mix Speed: 2378.767 | Time: 4.66s

[5/343] Analyzing (a=15, b=11, c=10)...
  ✓ Samples: 4,539,839 | Chi-Sq Stat: 5091.6147 | Chi-Sq p-value: 0.0 | MAD: 0.00325 | KS D-Max: 0.01171 | Dmix: 0.014612 | Digital Mix Speed: 2048.320 | Time: 4.84s

[6/343] Analyzing (a=15, b=11, c=11)...
  ✓ Samples: 4,741,591 | Chi-Sq Stat: 19766.5180 | Chi-Sq p-value: 0.0 | MAD: 0.00641 | KS D-Max: 0.01685 | Dmix: 0.028866 | Digital Mix Speed: 1041.486 | Time: 4.86s

[7/343] Analyzing (a=15, b=11, c=12)...
  ✓ Samples: 4,576,843 | Chi-Sq Stat: 3991.7056 | Chi-Sq p-value: 0.0 | MAD: 0.00279 | KS D-Max: 0.00734 | Dmix: 0.012533 | Digital Mix Speed: 2387.300 | Time: 4.80s

[8/343] Analyzing (a=15, b=12, c=6)...
  ✓ Samples: 4,801,473 | Chi-Sq Stat: 16478.4082 | Chi-Sq p-value: 0.0 | MAD: 0.00511 | KS D-Max: 0.02301 | Dmix: 0.023010 | Digital Mix Speed: 1307.510 | Time: 4.97s

[9/343] Analyzing (a=15, b=12, c=7)...
  ✓ Samples: 4,366,509 | Chi-Sq Stat: 8640.0648 | Chi-Sq p-value: 0.0 | MAD: 0.00411 | KS D-Max: 0.01360 | Dmix: 0.018499 | Digital Mix Speed: 1615.604 | Time: 4.48s

[10/343] Analyzing (a=15, b=12, c=8)...
  ✓ Samples: 4,366,509 | Chi-Sq Stat: 8642.3700 | Chi-Sq p-value: 0.0 | MAD: 0.00411 | KS D-Max: 0.01361 | Dmix: 0.018502 | Digital Mix Speed: 1615.604 | Time: 4.34s

[11/343] Analyzing (a=15, b=12, c=9)...
  ✓ Samples: 4,801,691 | Chi-Sq Stat: 14161.0980 | Chi-Sq p-value: 0.0 | MAD: 0.00549 | KS D-Max: 0.02472 | Dmix: 0.024723 | Digital Mix Speed: 1217.012 | Time: 5.03s

[12/343] Analyzing (a=15, b=12, c=10)...
  ✓ Samples: 4,366,509 | Chi-Sq Stat: 8637.8955 | Chi-Sq p-value: 0.0 | MAD: 0.00411 | KS D-Max: 0.01361 | Dmix: 0.018505 | Digital Mix Speed: 1615.604 | Time: 4.37s

[13/343] Analyzing (a=15, b=12, c=11)...
  ✓ Samples: 4,366,509 | Chi-Sq Stat: 8638.6493 | Chi-Sq p-value: 0.0 | MAD: 0.00411 | KS D-Max: 0.01360 | Dmix: 0.018505 | Digital Mix Speed: 1615.604 | Time: 4.49s

[14/343] Analyzing (a=15, b=12, c=12)...
  ✓ Samples: 4,802,346 | Chi-Sq Stat: 16462.4689 | Chi-Sq p-value: 0.0 | MAD: 0.00515 | KS D-Max: 0.02318 | Dmix: 0.023184 | Digital Mix Speed: 1297.370 | Time: 5.20s

[15/343] Analyzing (a=15, b=13, c=6)...
  ✓ Samples: 4,267,470 | Chi-Sq Stat: 2387.2878 | Chi-Sq p-value: 0.0 | MAD: 0.00223 | KS D-Max: 0.00515 | Dmix: 0.010055 | Digital Mix Speed: 2973.171 | Time: 4.33s

[16/343] Analyzing (a=15, b=13, c=7)...
  ✓ Samples: 4,585,630 | Chi-Sq Stat: 2755.3103 | Chi-Sq p-value: 0.0 | MAD: 0.00234 | KS D-Max: 0.00736 | Dmix: 0.010549 | Digital Mix Speed: 2846.752 | Time: 4.85s

[17/343] Analyzing (a=15, b=13, c=8)...
