Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (13, 14, 12)
Cube side length: 11
Total parameter points: 1331
Holes (trivial states): 0
Points to scan: 1331
Initial range: N=1 to 100000
==================================================

[1/1331] Analyzing (a=8, b=9, c=7)...
  ✓ Samples: 6,680,187 | Chi-Sq Stat: 24686.9256 | Chi-Sq p-value: 0.0 | MAD: 0.00598 | KS D-Max: 0.02445 | Dmix: 0.026888 | Digital Mix Speed: 1141.269 | Time: 7.98s

[2/1331] Analyzing (a=8, b=9, c=8)...
  ✓ Samples: 4,945,626 | Chi-Sq Stat: 14195.1342 | Chi-Sq p-value: 0.0 | MAD: 0.00527 | KS D-Max: 0.02278 | Dmix: 0.023715 | Digital Mix Speed: 1270.251 | Time: 5.37s

[3/1331] Analyzing (a=8, b=9, c=9)...
  ✓ Samples: 6,679,596 | Chi-Sq Stat: 24759.6395 | Chi-Sq p-value: 0.0 | MAD: 0.00604 | KS D-Max: 0.02505 | Dmix: 0.027168 | Digital Mix Speed: 1129.926 | Time: 7.70s

[4/1331] Analyzing (a=8, b=9, c=10)...
  ✓ Samples: 5,028,070 | Chi-Sq Stat: 17281.2365 | Chi-Sq p-value: 0.0 | MAD: 0.00570 | KS D-Max: 0.02563 | Dmix: 0.025633 | Digital Mix Speed: 1175.684 | Time: 5.48s

[5/1331] Analyzing (a=8, b=9, c=11)...
  ✓ Samples: 6,675,145 | Chi-Sq Stat: 24414.9709 | Chi-Sq p-value: 0.0 | MAD: 0.00587 | KS D-Max: 0.02428 | Dmix: 0.026430 | Digital Mix Speed: 1162.600 | Time: 8.04s

[6/1331] Analyzing (a=8, b=9, c=12)...
  ✓ Samples: 4,964,236 | Chi-Sq Stat: 14382.8355 | Chi-Sq p-value: 0.0 | MAD: 0.00527 | KS D-Max: 0.02333 | Dmix: 0.023727 | Digital Mix Speed: 1270.560 | Time: 5.23s

[7/1331] Analyzing (a=8, b=9, c=13)...
  ✓ Samples: 6,678,322 | Chi-Sq Stat: 25408.4219 | Chi-Sq p-value: 0.0 | MAD: 0.00607 | KS D-Max: 0.02493 | Dmix: 0.027332 | Digital Mix Speed: 1124.327 | Time: 7.81s

[8/1331] Analyzing (a=8, b=9, c=14)...
  ✓ Samples: 5,028,374 | Chi-Sq Stat: 17403.5204 | Chi-Sq p-value: 0.0 | MAD: 0.00571 | KS D-Max: 0.02570 | Dmix: 0.025697 | Digital Mix Speed: 1173.630 | Time: 5.42s

[9/1331] Analyzing (a=8, b=9, c=15)...
  ✓ Samples: 6,679,219 | Chi-Sq Stat: 23929.5920 | Chi-Sq p-value: 0.0 | MAD: 0.00584 | KS D-Max: 0.02393 | Dmix: 0.026265 | Digital Mix Speed: 1168.617 | Time: 7.84s

[10/1331] Analyzing (a=8, b=9, c=16)...
  ✓ Samples: 4,945,614 | Chi-Sq Stat: 14198.4353 | Chi-Sq p-value: 0.0 | MAD: 0.00527 | KS D-Max: 0.02279 | Dmix: 0.023716 | Digital Mix Speed: 1270.251 | Time: 5.30s

[11/1331] Analyzing (a=8, b=9, c=17)...
  ✓ Samples: 6,675,202 | Chi-Sq Stat: 25515.6266 | Chi-Sq p-value: 0.0 | MAD: 0.00609 | KS D-Max: 0.02499 | Dmix: 0.027397 | Digital Mix Speed: 1120.602 | Time: 7.83s

[12/1331] Analyzing (a=8, b=10, c=7)...
  ✓ Samples: 4,736,275 | Chi-Sq Stat: 1645176.9385 | Chi-Sq p-value: 0.0 | MAD: 0.05559 | KS D-Max: 0.25017 | Dmix: 0.250167 | Digital Mix Speed: 120.083 | Time: 4.88s

[13/1331] Analyzing (a=8, b=10, c=8)...
  ✓ Samples: 12,156,528 | Chi-Sq Stat: 3044.5919 | Chi-Sq p-value: 0.0 | MAD: 0.00125 | KS D-Max: 0.00562 | Dmix: 0.005620 | Digital Mix Speed: 5667.848 | Time: 18.09s

[14/1331] Analyzing (a=8, b=10, c=9)...
  ✓ Samples: 4,736,275 | Chi-Sq Stat: 1645176.9385 | Chi-Sq p-value: 0.0 | MAD: 0.05559 | KS D-Max: 0.25017 | Dmix: 0.250167 | Digital Mix Speed: 120.083 | Time: 4.97s

[15/1331] Analyzing (a=8, b=10, c=10)...
  ✓ Samples: 4,773,130 | Chi-Sq Stat: 1085512.4886 | Chi-Sq p-value: 0.0 | MAD: 0.04409 | KS D-Max: 0.19841 | Dmix: 0.198412 | Digital Mix Speed: 151.481 | Time: 4.89s

[16/1331] Analyzing (a=8, b=10, c=11)...
  ✓ Samples: 4,736,260 | Chi-Sq Stat: 1645058.1198 | Chi-Sq p-value: 0.0 | MAD: 0.05560 | KS D-Max: 0.25018 | Dmix: 0.250179 | Digital Mix Speed: 120.062 | Time: 4.92s

[17/1331] Analyzing (a=8, b=10, c=12)...
  ✓ Samples: 5,340,400 | Chi-Sq Stat: 78650.7171 | Chi-Sq p-value: 0.0 | MAD: 0.01025 | KS D-Max: 0.03912 | Dmix: 0.046146 | Digital Mix Speed: 656.349 | Time: 5.77s

[18/1331] Analyzing (a=8, b=10, c=13)...
  ✓ Samples: 4,736,260 | Chi-Sq Stat: 1645058.1198 | Chi-Sq p-value: 0.0 | MAD: 0.05560 | KS D-Max: 0.25018 | Dmix: 0.250179 | Digital Mix Speed: 120.062 | Time: 5.00s

[19/1331] Analyzing (a=8, b=10, c=14)...
  ✓ Samples: 4,772,755 | Chi-Sq Stat: 1086072.7654 | Chi-Sq p-value: 0.0 | MAD: 0.04412 | KS D-Max: 0.19856 | Dmix: 0.198557 | Digital Mix Speed: 151.377 | Time: 4.93s

[20/1331] Analyzing (a=8, b=10, c=15)...
  ✓ Samples: 4,736,260 | Chi-Sq Stat: 1645058.1198 | Chi-Sq p-value: 0.0 | MAD: 0.05560 | KS D-Max: 0.25018 | Dmix: 0.250179 | Digital Mix Speed: 120.062 | Time: 5.00s

[21/1331] Analyzing (a=8, b=10, c=16)...
  ✓ Samples: 6,670,333 | Chi-Sq Stat: 8205.1018 | Chi-Sq p-value: 0.0 | MAD: 0.00332 | KS D-Max: 0.01496 | Dmix: 0.014961 | Digital Mix Speed: 2055.466 | Time: 7.80s

[22/1331] Analyzing (a=8, b=10, c=17)...
  ✓ Samples: 4,736,260 | Chi-Sq Stat: 1645058.1198 | Chi-Sq p-value: 0.0 | MAD: 0.05560 | KS D-Max: 0.25018 | Dmix: 0.250179 | Digital Mix Speed: 120.062 | Time: 5.04s

[23/1331] Analyzing (a=8, b=11, c=7)...
  ✓ Samples: 4,619,231 | Chi-Sq Stat: 976.1366 | Chi-Sq p-value: 0.0 | MAD: 0.00127 | KS D-Max: 0.00401 | Dmix: 0.005731 | Digital Mix Speed: 5247.693 | Time: 4.87s

[24/1331] Analyzing (a=8, b=11, c=8)...
  ✓ Samples: 4,543,993 | Chi-Sq Stat: 5205.9018 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.01241 | Dmix: 0.014344 | Digital Mix Speed: 2086.971 | Time: 4.85s

[25/1331] Analyzing (a=8, b=11, c=9)...
  ✓ Samples: 4,618,794 | Chi-Sq Stat: 955.6468 | Chi-Sq p-value: 0.0 | MAD: 0.00126 | KS D-Max: 0.00387 | Dmix: 0.005655 | Digital Mix Speed: 5289.308 | Time: 4.75s

[26/1331] Analyzing (a=8, b=11, c=10)...
  ✓ Samples: 4,561,192 | Chi-Sq Stat: 3759.6461 | Chi-Sq p-value: 0.0 | MAD: 0.00271 | KS D-Max: 0.01068 | Dmix: 0.012175 | Digital Mix Speed: 2457.224 | Time: 4.79s

[27/1331] Analyzing (a=8, b=11, c=11)...
  ✓ Samples: 4,619,305 | Chi-Sq Stat: 960.2163 | Chi-Sq p-value: 0.0 | MAD: 0.00127 | KS D-Max: 0.00394 | Dmix: 0.005723 | Digital Mix Speed: 5247.698 | Time: 4.80s

[28/1331] Analyzing (a=8, b=11, c=12)...
  ✓ Samples: 4,561,296 | Chi-Sq Stat: 3762.6127 | Chi-Sq p-value: 0.0 | MAD: 0.00271 | KS D-Max: 0.01068 | Dmix: 0.012188 | Digital Mix Speed: 2457.228 | Time: 4.88s

[29/1331] Analyzing (a=8, b=11, c=13)...
  ✓ Samples: 4,619,026 | Chi-Sq Stat: 963.9039 | Chi-Sq p-value: 0.0 | MAD: 0.00126 | KS D-Max: 0.00387 | Dmix: 0.005669 | Digital Mix Speed: 5289.326 | Time: 4.82s

[30/1331] Analyzing (a=8, b=11, c=14)...
  ✓ Samples: 4,561,222 | Chi-Sq Stat: 3766.0050 | Chi-Sq p-value: 0.0 | MAD: 0.00271 | KS D-Max: 0.01069 | Dmix: 0.012197 | Digital Mix Speed: 2457.226 | Time: 4.97s

[31/1331] Analyzing (a=8, b=11, c=15)...
  ✓ Samples: 4,618,897 | Chi-Sq Stat: 968.8165 | Chi-Sq p-value: 0.0 | MAD: 0.00126 | KS D-Max: 0.00387 | Dmix: 0.005672 | Digital Mix Speed: 5289.316 | Time: 8.12s

[32/1331] Analyzing (a=8, b=11, c=16)...
  ✓ Samples: 4,543,984 | Chi-Sq Stat: 5211.0304 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.01241 | Dmix: 0.014353 | Digital Mix Speed: 2086.971 | Time: 6.45s

[33/1331] Analyzing (a=8, b=11, c=17)...
  ✓ Samples: 4,618,919 | Chi-Sq Stat: 958.2083 | Chi-Sq p-value: 0.0 | MAD: 0.00125 | KS D-Max: 0.00383 | Dmix: 0.005637 | Digital Mix Speed: 5331.632 | Time: 4.92s

[34/1331] Analyzing (a=8, b=12, c=7)...
  ✓ Samples: 4,377,466 | Chi-Sq Stat: 8257.5391 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018706 | Digital Mix Speed: 1596.448 | Time: 4.56s

[35/1331] Analyzing (a=8, b=12, c=8)...
  ✓ Samples: 7,490,401 | Chi-Sq Stat: 1485.5310 | Chi-Sq p-value: 0.0 | MAD: 0.00118 | KS D-Max: 0.00531 | Dmix: 0.005305 | Digital Mix Speed: 5825.852 | Time: 9.37s

[36/1331] Analyzing (a=8, b=12, c=9)...
  ✓ Samples: 4,377,466 | Chi-Sq Stat: 8252.7961 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018707 | Digital Mix Speed: 1596.448 | Time: 4.60s

[37/1331] Analyzing (a=8, b=12, c=10)...
  ✓ Samples: 4,377,466 | Chi-Sq Stat: 8253.2714 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01198 | Dmix: 0.018710 | Digital Mix Speed: 1596.448 | Time: 4.51s

[38/1331] Analyzing (a=8, b=12, c=11)...
  ✓ Samples: 4,377,466 | Chi-Sq Stat: 8252.5865 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018707 | Digital Mix Speed: 1596.448 | Time: 4.67s

[39/1331] Analyzing (a=8, b=12, c=12)...
  ✓ Samples: 4,508,250 | Chi-Sq Stat: 2726.6032 | Chi-Sq p-value: 0.0 | MAD: 0.00240 | KS D-Max: 0.00657 | Dmix: 0.010810 | Digital Mix Speed: 2772.503 | Time: 4.68s

[40/1331] Analyzing (a=8, b=12, c=13)...
  ✓ Samples: 4,377,463 | Chi-Sq Stat: 8248.8403 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018705 | Digital Mix Speed: 1596.448 | Time: 4.66s

[41/1331] Analyzing (a=8, b=12, c=14)...
  ✓ Samples: 4,377,463 | Chi-Sq Stat: 8250.1474 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018702 | Digital Mix Speed: 1596.448 | Time: 4.45s

[42/1331] Analyzing (a=8, b=12, c=15)...
  ✓ Samples: 4,377,459 | Chi-Sq Stat: 8251.7531 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018703 | Digital Mix Speed: 1596.448 | Time: 4.49s

[43/1331] Analyzing (a=8, b=12, c=16)...
  ✓ Samples: 48,027,206 | Chi-Sq Stat: 542.1342 | Chi-Sq p-value: 0.0 | MAD: 0.00032 | KS D-Max: 0.00070 | Dmix: 0.001442 | Digital Mix Speed: 24004.648 | Time: 156.52s

[44/1331] Analyzing (a=8, b=12, c=17)...
  ✓ Samples: 4,377,458 | Chi-Sq Stat: 8260.0058 | Chi-Sq p-value: 0.0 | MAD: 0.00416 | KS D-Max: 0.01197 | Dmix: 0.018710 | Digital Mix Speed: 1596.448 | Time: 4.58s

[45/1331] Analyzing (a=8, b=13, c=7)...
  ✓ Samples: 5,461,889 | Chi-Sq Stat: 1709.8625 | Chi-Sq p-value: 0.0 | MAD: 0.00148 | KS D-Max: 0.00588 | Dmix: 0.006649 | Digital Mix Speed: 4552.259 | Time: 6.18s

[46/1331] Analyzing (a=8, b=13, c=8)...
  ✓ Samples: 4,250,077 | Chi-Sq Stat: 1799.4026 | Chi-Sq p-value: 0.0 | MAD: 0.00184 | KS D-Max: 0.00497 | Dmix: 0.008289 | Digital Mix Speed: 3602.390 | Time: 4.54s

[47/1331] Analyzing (a=8, b=13, c=9)...
  ✓ Samples: 5,459,932 | Chi-Sq Stat: 1787.6255 | Chi-Sq p-value: 0.0 | MAD: 0.00147 | KS D-Max: 0.00607 | Dmix: 0.006600 | Digital Mix Speed: 4583.121 | Time: 6.09s

[48/1331] Analyzing (a=8, b=13, c=10)...
  ✓ Samples: 4,323,858 | Chi-Sq Stat: 704.8838 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00353 | Dmix: 0.004736 | Digital Mix Speed: 6319.878 | Time: 4.63s

[49/1331] Analyzing (a=8, b=13, c=11)...
  ✓ Samples: 5,461,832 | Chi-Sq Stat: 1706.4675 | Chi-Sq p-value: 0.0 | MAD: 0.00147 | KS D-Max: 0.00584 | Dmix: 0.006633 | Digital Mix Speed: 4583.223 | Time: 6.18s

[50/1331] Analyzing (a=8, b=13, c=12)...
  ✓ Samples: 4,266,775 | Chi-Sq Stat: 1257.4326 | Chi-Sq p-value: 0.0 | MAD: 0.00152 | KS D-Max: 0.00387 | Dmix: 0.006840 | Digital Mix Speed: 4361.908 | Time: 4.70s

[51/1331] Analyzing (a=8, b=13, c=13)...
  ✓ Samples: 5,463,429 | Chi-Sq Stat: 1601.2225 | Chi-Sq p-value: 0.0 | MAD: 0.00144 | KS D-Max: 0.00566 | Dmix: 0.006476 | Digital Mix Speed: 4678.795 | Time: 6.16s

[52/1331] Analyzing (a=8, b=13, c=14)...
  ✓ Samples: 4,323,637 | Chi-Sq Stat: 703.0518 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00354 | Dmix: 0.004729 | Digital Mix Speed: 6319.856 | Time: 4.60s

[53/1331] Analyzing (a=8, b=13, c=15)...
  ✓ Samples: 5,461,860 | Chi-Sq Stat: 1715.4273 | Chi-Sq p-value: 0.0 | MAD: 0.00148 | KS D-Max: 0.00595 | Dmix: 0.006654 | Digital Mix Speed: 4552.257 | Time: 6.03s

[54/1331] Analyzing (a=8, b=13, c=16)...
  ✓ Samples: 4,250,066 | Chi-Sq Stat: 1798.0046 | Chi-Sq p-value: 0.0 | MAD: 0.00184 | KS D-Max: 0.00498 | Dmix: 0.008295 | Digital Mix Speed: 3602.389 | Time: 4.53s

[55/1331] Analyzing (a=8, b=13, c=17)...
  ✓ Samples: 5,460,755 | Chi-Sq Stat: 1771.4722 | Chi-Sq p-value: 0.0 | MAD: 0.00148 | KS D-Max: 0.00608 | Dmix: 0.006646 | Digital Mix Speed: 4552.198 | Time: 6.10s

[56/1331] Analyzing (a=8, b=14, c=7)...
  ✓ Samples: 4,142,183 | Chi-Sq Stat: 59.5775 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00134 | Dmix: 0.001343 | Digital Mix Speed: 22057.431 | Time: 4.45s

[57/1331] Analyzing (a=8, b=14, c=8)...
  ✓ Samples: 8,799,203 | Chi-Sq Stat: 933.3484 | Chi-Sq p-value: 0.0 | MAD: 0.00088 | KS D-Max: 0.00306 | Dmix: 0.003949 | Digital Mix Speed: 7891.413 | Time: 11.76s

[58/1331] Analyzing (a=8, b=14, c=9)...
