Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (25, 17, 15)
Cube side length: 9
Total parameter points: 729
Holes (trivial states): 0
Points to scan: 729
Initial range: N=1 to 100000
==================================================

[1/729] Analyzing (a=21, b=13, c=11)...
  ✓ Samples: 4,274,806 | Chi-Sq Stat: 2520.2628 | Chi-Sq p-value: 0.0 | MAD: 0.00236 | KS D-Max: 0.00546 | Dmix: 0.010637 | Digital Mix Speed: 2809.710 | Time: 4.55s

[2/729] Analyzing (a=21, b=13, c=12)...
  ✓ Samples: 4,239,863 | Chi-Sq Stat: 1907.7497 | Chi-Sq p-value: 0.0 | MAD: 0.00194 | KS D-Max: 0.00490 | Dmix: 0.008745 | Digital Mix Speed: 3416.161 | Time: 4.46s

[3/729] Analyzing (a=21, b=13, c=13)...
  ✓ Samples: 4,274,887 | Chi-Sq Stat: 2520.9843 | Chi-Sq p-value: 0.0 | MAD: 0.00236 | KS D-Max: 0.00547 | Dmix: 0.010634 | Digital Mix Speed: 2809.714 | Time: 4.37s

[4/729] Analyzing (a=21, b=13, c=14)...
  ✓ Samples: 4,247,090 | Chi-Sq Stat: 1859.6621 | Chi-Sq p-value: 0.0 | MAD: 0.00195 | KS D-Max: 0.00447 | Dmix: 0.008761 | Digital Mix Speed: 3399.021 | Time: 4.42s

[5/729] Analyzing (a=21, b=13, c=15)...
  ✓ Samples: 4,239,977 | Chi-Sq Stat: 1911.1653 | Chi-Sq p-value: 0.0 | MAD: 0.00194 | KS D-Max: 0.00488 | Dmix: 0.008744 | Digital Mix Speed: 3416.167 | Time: 4.43s

[6/729] Analyzing (a=21, b=13, c=16)...
  ✓ Samples: 4,274,597 | Chi-Sq Stat: 2520.8973 | Chi-Sq p-value: 0.0 | MAD: 0.00236 | KS D-Max: 0.00544 | Dmix: 0.010627 | Digital Mix Speed: 2809.701 | Time: 4.48s

[7/729] Analyzing (a=21, b=13, c=17)...
  ✓ Samples: 4,274,799 | Chi-Sq Stat: 2521.6418 | Chi-Sq p-value: 0.0 | MAD: 0.00236 | KS D-Max: 0.00544 | Dmix: 0.010636 | Digital Mix Speed: 2809.710 | Time: 4.32s

[8/729] Analyzing (a=21, b=13, c=18)...
  ✓ Samples: 4,239,879 | Chi-Sq Stat: 1912.8395 | Chi-Sq p-value: 0.0 | MAD: 0.00194 | KS D-Max: 0.00489 | Dmix: 0.008739 | Digital Mix Speed: 3416.162 | Time: 4.36s

[9/729] Analyzing (a=21, b=13, c=19)...
  ✓ Samples: 4,274,741 | Chi-Sq Stat: 2512.9187 | Chi-Sq p-value: 0.0 | MAD: 0.00236 | KS D-Max: 0.00544 | Dmix: 0.010626 | Digital Mix Speed: 2809.708 | Time: 4.42s

[10/729] Analyzing (a=21, b=14, c=11)...
  ✓ Samples: 4,125,583 | Chi-Sq Stat: 10.9532 | Chi-Sq p-value: 0.20436 | MAD: 0.00012 | KS D-Max: 0.00034 | Dmix: 0.000519 | Digital Mix Speed: 55129.044 | Time: 4.15s

[11/729] Analyzing (a=21, b=14, c=12)...
  ✓ Samples: 4,125,580 | Chi-Sq Stat: 10.8876 | Chi-Sq p-value: 0.20815 | MAD: 0.00011 | KS D-Max: 0.00034 | Dmix: 0.000512 | Digital Mix Speed: 60140.773 | Time: 4.28s

[12/729] Analyzing (a=21, b=14, c=13)...
  ✓ Samples: 4,125,579 | Chi-Sq Stat: 11.0073 | Chi-Sq p-value: 0.20129 | MAD: 0.00012 | KS D-Max: 0.00034 | Dmix: 0.000524 | Digital Mix Speed: 55129.041 | Time: 4.05s

[13/729] Analyzing (a=21, b=14, c=14)...
  ✓ Samples: 4,345,506 | Chi-Sq Stat: 1285.7356 | Chi-Sq p-value: 0.0 | MAD: 0.00173 | KS D-Max: 0.00780 | Dmix: 0.007800 | Digital Mix Speed: 3837.018 | Time: 4.55s

[14/729] Analyzing (a=21, b=14, c=15)...
  ✓ Samples: 4,125,579 | Chi-Sq Stat: 11.3219 | Chi-Sq p-value: 0.18412 | MAD: 0.00012 | KS D-Max: 0.00034 | Dmix: 0.000530 | Digital Mix Speed: 55129.041 | Time: 4.20s

[15/729] Analyzing (a=21, b=14, c=16)...
  ✓ Samples: 4,125,575 | Chi-Sq Stat: 11.0802 | Chi-Sq p-value: 0.1972 | MAD: 0.00012 | KS D-Max: 0.00034 | Dmix: 0.000523 | Digital Mix Speed: 55129.037 | Time: 4.27s

[16/729] Analyzing (a=21, b=14, c=17)...
  ✓ Samples: 4,125,575 | Chi-Sq Stat: 11.2657 | Chi-Sq p-value: 0.18709 | MAD: 0.00012 | KS D-Max: 0.00034 | Dmix: 0.000527 | Digital Mix Speed: 55129.037 | Time: 4.14s

[17/729] Analyzing (a=21, b=14, c=18)...
